Number of Features,F1,Accuracy
1,0.0030131826741996233,0.8434839167455062
2,0.06146961846443712,0.8429123304951119
3,0.12939890710382515,0.8429911699779249
4,0.15738572737452916,0.8368614001892147
5,0.2451015318845743,0.8329391359192684
6,0.2782594057739248,0.8309878587196468
7,0.28991596638655465,0.8267896562598549
8,0.29748354626403406,0.8211723431094292
9,0.30499923559088826,0.8207978555660674
10,0.31351026238628676,0.8200291706086408
11,0.31654567453115545,0.8218621885840429
12,0.30683466972126766,0.8210935036266163
13,0.30581134411514355,0.8231827499211605
14,0.3042625009812387,0.8253114159571113
15,0.2997632202052092,0.8251340271207821
16,0.30365422396856584,0.8253508356985179
17,0.3064848580941811,0.8275780510879849
18,0.3070321811680572,0.8281102175969726
19,0.3113185161749585,0.8283861557868181
